Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,West Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Delaware,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,District of Columbia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Florida,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2014,West Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Delaware,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,District of Columbia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Florida,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2015,West Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Delaware,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,District of Columbia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Florida,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2016,West Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Delaware,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,District of Columbia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Florida,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2017,West Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Delaware,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,District of Columbia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Florida,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Georgia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Kentucky,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Louisiana,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Maryland,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Mississippi,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,North Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Oklahoma,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,South Carolina,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Tennessee,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Texas,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,Virginia,
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2018,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/1999,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2000,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2001,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2002,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2003,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Texas,10
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2004,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2005,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2013,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Texas,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2014,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Delaware,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,District of Columbia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Florida,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Georgia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Kentucky,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Louisiana,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Maryland,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Mississippi,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,North Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Oklahoma,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,South Carolina,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Tennessee,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Texas,10
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2015,West Virginia,
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2016,Delaware,
